terr_id,tag_no,x_coord,y_coord,species,nest,nest1_prod,nest2_prod,nest3_prod,nest4_prod,mean_prod,predated
cn8_373,373,478094,4330665,potr,"CN8_2005,2006,2007,2008",3,1,2,2,2,n
CN7_768,768,478773,4330146,potr,CN10_2012,2,,,,2,n
CN1_771,771,480793,4330259,potr,CN1_2011,1,,,,1,n
CN1_777,777,480854,4330228,potr,CN1_2010,2,,,,2,n
cn7_3,784,478742,4330222,potr,CN7_2006,2,,,,2,n
CN5_799,799,482123,4333391,psme?,"CN13_2012, 2014",2,3,,,2.5,n
cn8_41,878,482804,4324178,potr,CS4_2006,2,,,,2,n
cn5_21,938,482350,4333323,potr,"CN5_2009, 2010",2,2,,,2,n
cn4_966,966,482812,4331420,potr,CN4_2016,2,,,,2,n
cn4_987,987,482816,4331441,potr,CN4_2005,3,,,,3,n
cn8_36,1000,483169,4324171,potr,"CS1_2_2004, 2005, 2006, 2008",3,3,2,0,2,y
CN7_1022,1022,478778,4330105,potr,"CN10_2014, 2017",2,2,,,2,n
CN10_1030,1030,478849,4330058,potr,CN10_2016,0,,,,0,y
CN5_1033,1033,482091,4333720,pipo,CN5_2015,3,,,,3,n
CN8_1108,1108,478180,4330674,potr,"CN8_2013, 2014",2,3,,,2.5,n
CN11_1161,1161,481568,4333244,potr,CN14_2015,3,,,,3,n
cn8_10,1167,477951,4330373,potr,"CN9_2007,2009,2010",0,3,2,,1.666666667,y
CN7_1177,1177,478877,4330012,potr,"CN10_2013, 2015",0,0,,,0,y
CN11_1265,1265,481079,4332732,potr,CN11_2016,2,,,,2,n
CN11_1289,1289,481426,4333040,potr,"CN14_2013, 2016",2,2,,,2,n
CN5_1312,1312,481919,4333754,psme,CN5_2016 ,2,,,,2,n
CN1_1322,1322,480667,4330160,pipo,CN1_2016,1,,,,1,n
CS1_1366,1366,483180,4324239,potr,"CS1_2013, 2015",2,2,,,2,n
cn2_926,1371,480749,4330080,potr,"CN2_2005,2006,2007,2009",2,2,0,,1.333333333,y
CN1_1508,1508,480944,4330284,potr,CN1_2017,3,,,,3,n
CN11_1538,1538,481105,4332819,potr,"CN11_2014, 2015",3,2,,,2.5,n
CN8_1612,1612,478264,4330620,pipo,"CN8_2016, 2017, 2019",0,2,0,,0.666666667,y
CN11_3052,3052,481073,4332755,potr,CN11_2018,0,,,,0,y
CN11_3047,3047,481101,4332746,potr,CN11_2019,0,,,,0,y
CN7_XX,XX,478459,4330623,potr,CN7_2005,3,,,,3,n
CN4_XX,XX,482199,4333637,potr,CN5_2004,1,,,,1,n
cs1_5,906,482739,4324183,potr,CS1_2004,1,,,,1,n
cn1_XX,XX,480785,4330240,potr,CN1_2007,2,,,,2,n
cn5_1,979,481925,4333707,potr,CN5_2007,2,,,,2,n
cn7_nest,,478598,4330583,potr,CN7_2007,3,,,,3,n
cs4_nest,,482965,4323967,potr,CS4_2007,3,,,,3,n
CN1_772,772,480786,4330240,potr,"CN1_2008, 2009",2,,,,2,n
cn5_894,894,481879,4333881,potr,CN5_2008,0,,,,0,y
CN7_783,783,478500,4330544,potr,CN7_2008,2,,,,2,n
cn2_923,923,480860,4330002,potr,CN2_2010,0,,,,0,y
CN11_1163,1163,481590,4333280,potr,CN11_2010,2,,,,2,n
CN5_821,821,482054,4333789,potr,CN5_2011,0,,,,0,y
CN11_1162,1162,481573,4333253,potr,"CN11_2011, 2012",1,2,,,1.5,n
CN9_XX,XX,477917,4330349,psme,CN9_2013,3,,,,3,n
CN10_XX,XX,478842,4330057,potr,CN10_2016,0,,,,0,y
